classification,Acid Lake,Deep Sinkhole,Mesopelagic,Platform,Shallow Sinkhole,Surface
p__CLD3,-5.258768524671275,-5.58101516636999,-5.3819455575524096,-5.622225254798824,-5.762214707533828,-6.096156320281437
p__CSP1-3,-5.542243569063663,-5.723757649080663,-5.435018248541938,-6.133258198562131,-5.914392116028148,-6.470648674601849
p__CSSED10-310,-6.520001958742293,-6.490537997285747,-6.377478213245064,-7.067452183971326,-6.943319356690571,-7.32232371425367
p__Caldatribacteriota,-4.861668315417095,-5.526963208785142,-5.374667314703005,-5.711547550178694,-5.748934406138744,-5.960925203558405
p__Caldisericota,-5.9743601399368425,-5.963917884087865,-5.905316275221804,-6.256502308367329,-5.987795959519951,-5.787746866973331
p__Calditrichota,-4.005719281604342,-4.954370372531807,-4.628675344320427,-5.35774931903846,-5.250543005449861,-5.547536304868038
p__Calescibacterota,-6.443500096202151,-6.268312319615517,-5.988914519975359,-6.37568993493113,-6.351126383123222,-6.411079427124116
p__Campylobacterota,-4.101459531188981,-4.225682711219936,-3.981268329434572,-4.35201135177544,-4.1838806807360704,-4.265900524327924
p__Chlamydiota,-2.8921646777611496,-3.8036602796361683,-4.097632896410849,-3.552261410744877,-3.657656562548423,-3.7559108138956954
p__Chloroflexota,-1.584783944900802,-1.2493150000072497,-1.5447911298902826,-1.8669348809792732,-1.5726200268664166,-2.7956489420734028
p__Chrysiogenetota,-6.708097491965037,-6.594734068355917,-6.663774204138653,-6.705858354674294,-6.614064058154724,-6.87520026149278
p__Cloacimonadota,-4.656143072704674,-4.948661269936343,-4.5780262104553415,-5.076740227445923,-5.054057577237656,-5.158829421412574
p__Coprothermobacterota,-7.555214711035178,-6.98436210744838,-7.237727557184924,-7.185564429905244,-6.866201947068328,-7.151119182109682
p__Cyanobacteria,-3.1036741428937837,-1.776121366845444,-2.9691598664033183,-1.0486279466573982,-1.2386991957684248,-1.0170971774948796
p__DQWO01,-6.626272673695901,-6.366142537522693,-6.196207405419074,-6.693809108409726,-6.558562039143526,-6.879964543177911
p__DSWW01,-6.116766333845589,-6.231728587729283,-5.798365117799764,-6.465410160324724,-6.264805901490212,-6.922117192721134
p__DTU030,-6.339661075978056,-6.396077539571168,-6.392696300327486,-6.72498344723986,-6.391500000557568,-7.057877917634674
p__DUMJ01,-6.608305009732041,-6.373764356120312,-6.00145024014427,-6.259613466945691,-6.766435307986116,-6.31716843337738
p__Deferribacterota,-6.1635832470149206,-5.811163460172263,-5.806640886533974,-5.859784700327975,-5.756264861073925,-5.8058994459580315
p__Deinococcota,-4.814917766300854,-3.430548568099699,-4.787652532851841,-4.71141880030366,-3.738107940884319,-5.315988398236929
p__Delongbacteria,-6.235325238519448,-5.825109542426757,-5.5657938336991055,-6.021679569149418,-5.914045616551482,-6.246504242254043
p__Dependentiae,-3.373193905345704,-4.319510699787062,-4.723773301535727,-4.440491071518794,-4.11139007059862,-4.4725064927470335
p__Desantisbacteria,-6.490371033060927,-6.295862016897764,-6.0996161291046604,-6.2123274882553,-6.233051984895718,-6.874007022406939
p__Desulfobacterota,-3.4304557924264985,-3.734651939270388,-3.1289581418582273,-4.015631202577221,-3.82802374798301,-4.158740509104591
