"","Module","KO","Sub_MO","Class"
"119",M00126,K01495;K09007;K22391;K01077;K01113;K08310;K19965;K13939;K13940;K01633;K13939;K13940;K00950;K13941;K13939;K00796;K13941;K11754;K20457;K00287;K13998,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"120",M00127,K03148;K03154;K03151;K03150;K03149;K03147;K00941;K00788;K14153;K21219;K00946,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"121",M00128,K06125;K06126;K00591;K06127;K06134,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"122",M00129,K00963;K00012;K00699;K01195;K00002;K01053;K00103,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"123",M00130,K00888;K19801;K13711;K00889;K13712;K01116;K05857;K05858;K05859;K05860;K05861;K00911,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"124",M00131,K01106;K01107;K01109;K01092,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"125",M00132,K00913;K01765;K00915;K10572,NA,Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
"126",M00133,K01585;K01584;K02626 arginine decarboxylase [EC:4.1.1.19] [RN:R00566];K01480 agmatinase [EC:3.5.3.11] [RN:R01157];K01611 S-adenosylmethionine decarboxylase [EC:4.1.1.50] [RN:R00178];K00797 spermidine synthase [EC:2.5.1.16] [RN:R01920],NA,Pathway modules; Amino acid metabolism; Polyamine biosynthesis
"127",M00134,K01476;K27545;K01581,NA,Pathway modules; Amino acid metabolism; Polyamine biosynthesis
"128",M00135,K00657;K00274;K00128;K14085;K00149,NA,Pathway modules; Amino acid metabolism; Polyamine biosynthesis
"129",M00136,K09470;K09471;K09472;K09473,NA,Pathway modules; Amino acid metabolism; Polyamine biosynthesis
"130",M00137,K10775;K00487;K01904;K00660;K01859,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"131",M00138,K00475;K13082;K05277,NA,Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds
"132",M00140,K00600;K01491;K00300;K01500;K01938,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"133",M00141,K00600;K00288;K13403;K13402,NA,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
"134",M00142,K03878;K03879;K03880;K03881;K03882;K03883;K03884,NA,Pathway modules; Energy metabolism; ATP synthesis
"135",M00143,K03934;K03935;K03936;K03937;K03938;K03939;K03940;K03941;K03942;K03943;K03944,NA,Pathway modules; Energy metabolism; ATP synthesis
"136",M00144,K00330;K00331;K00332;K00333;K13378;K13380;K00334;K00335;K00336;K00337;K00338;K00339;K00340;K00341;K00342;K00343,NA,Pathway modules; Energy metabolism; ATP synthesis
