,Acid Lake,Deep Sinkhole,Mesopelagic,Platform,Shallow Sinkhole,Surface
met_Aryl_bromides|Bromobenzenes,0.00015363345752524235,0.00012462603907644452,0.0001273780427253,0.00013317263101217513,0.00011846432594556033,0.00011929083079460706
met_Aryl_chlorides,1.7068434502649812e-05,1.500807046977294e-05,2.314772360089894e-05,2.4336835742695672e-05,1.95411926757238e-05,8.475569523166927e-05
met_Aryl_fluorides,0.0038072240500235835,0.0031675019680336624,0.0035748562403390997,0.0032665213394095,0.0033881043731294074,0.0037393872679834664
met_Aryl_halides,0.028614883631593067,0.009656758864134325,0.0045895239187287995,0.008568966556716136,0.0094449738467519,0.00818231976423676
met_Aryl_iodides,0.024290057953668103,0.005761442108073774,0.0004546250745756,0.005110010164345455,0.005682815396546129,0.0038910678061472802
met_Aryl_ketones,0.006924451161283666,0.008838312022487575,0.00542305607576805,0.00870109854423229,0.00872267558271207,0.009128407737750166
met_Aryl_thioethers,9.946558504140756e-05,5.9258925075679546e-05,6.294816084587375e-05,5.3156500748593155e-05,6.130221384548505e-05,5.6780522715271886e-05
met_Benzaldehydes|Aryl-aldehydes,0.0008673375756363833,0.0009739129537586875,0.0006327973731103001,0.0009704859074748999,0.0011432111647510215,0.0010524531803615066
met_Aryl-phenylketones,0.0009504492167549666,0.0008062351611286375,0.0007361036343688,0.0006796548850868454,0.0007203577160964,0.0006814803441372866
met_Azacyclic_compounds,0.044135567341786815,0.04183471285974169,0.031558951919191155,0.0498480266223359,0.045854995292856936,0.0528999868746822
met_Azaspirodecane_derivatives,0.00019464507356685,0.0003641926464469125,0.0003403864061111,0.0004072243278964364,0.0003992753840827643,0.00041024314714882
met_Azasteroids_and_derivatives,7.557468008700482e-05,6.999017932132199e-05,0.00030301277468284204,0.00020581354572175132,9.764431501977095e-05,0.0006987858833746467
met_Azepanes,0.00026152022426585,0.000418130847563075,0.00040286490391370003,0.0005730850010840818,0.002690110350221314,0.00086564774597074
met_Azoles,0.0075581002580349665,0.008254795458004225,0.00693934409264335,0.008814323497527246,0.008604499337328287,0.009102676071808641
met_Azolidines,0.0005232029778280833,0.0002677534295977625,0.00016713131189375,0.0002706999297403182,0.00025821502215332145,0.0010258348620070133
met_Azolines,0.0004494798941505,0.00025995349142586706,7.949937038562361e-05,0.00021154430130619853,0.00022859970195580854,0.00017198042002329313
met_Azulenes,0.0011258963684787667,0.000778314656312675,0.0008844223579985,0.0007111989386340272,0.0007534246289540714,0.00076644317408638
met_Benzamides,0.00563407677542805,0.0040849620129298995,0.0040579908916682,0.004094330453192309,0.0038337022308778355,0.00461521204279518
